lot_number,wafer_number,date,experiment_key,n_points,si_etch_mean,si_etch_std,si_etch_min,si_etch_max,oxide_etch_mean,oxide_etch_std,stepheight_mean,preox_mean,postox_mean,si_etch_range,si_nu_pct,si_cv_pct,selectivity,n_wafers_planned,measurements,cond_rep,cond_type,cond_label
4,6,2024-07-11,2024-07-11_06,9,40.23047777777778,1.0247946986808822,38.9089,42.2434,0.6156111111111111,0.054736652355721484,40.846088888888886,1.0026111111111111,0.387,3.3344999999999985,4.144246084298165,2.547309292078433,65.35047378395451,10,89 & 9 points,3,Si,Si_3x
4,7,2024-07-11,2024-07-11_07,9,39.83414444444444,1.0136902338869465,38.5333,41.8274,0.6102333333333333,0.05395820141554017,40.444377777777774,1.0024555555555557,0.3922222222222222,3.2941000000000003,4.134769361739636,2.544777220710016,65.27690682981009,10,89 & 9 points,3,Si,Si_3x
4,8,2024-07-11,2024-07-11_08,9,39.780944444444444,1.0150770119935617,38.4681,41.7697,0.6076111111111111,0.05369142027466875,40.388555555555556,1.0021222222222221,0.39451111111111115,3.3016000000000005,4.14972551067862,2.5516664477666042,65.47106153424157,10,89 & 9 points,3,Si,Si_3x
4,9,2024-07-11,2024-07-11_09,9,39.5544,1.0101941211965173,38.2659,41.5766,0.6041222222222222,0.053396834591990947,40.15852222222222,1.0018444444444445,0.3977222222222222,3.310699999999997,4.184995853811456,2.5539361517214703,65.47416821467327,10,89 & 9 points,3,Si,Si_3x
4,10,2024-07-11,2024-07-11_10,9,40.05142222222222,1.0152412986302533,38.7492,42.041,0.6096333333333334,0.054353771718253376,40.661055555555556,1.0013444444444444,0.3917111111111111,3.291799999999995,4.109467051801178,2.534844563065115,65.69755955310113,10,89 & 9 points,3,Si,Si_3x
5,1,2024-07-19,2024-07-19_01,9,40.70607777777778,0.9891366889588347,39.3855,42.6711,0.6325333333333334,0.05691144436754352,41.33861111111111,1.0012777777777777,0.36874444444444443,3.2856000000000023,4.035760971539333,2.4299484080945355,64.35404370432828,10,89 & 9 points,1,Si,Si_1x
5,2,2024-07-19,2024-07-19_02,9,40.2054,0.9975182066007631,38.8714,42.1902,0.6242666666666667,0.055442650549915096,40.82966666666667,1.0013111111111113,0.37704444444444446,3.318799999999996,4.127306282240689,2.481055297548994,64.40420760358819,10,89 & 9 points,1,Si,Si_1x
5,3,2024-07-19,2024-07-19_03,9,40.38415555555556,1.0155201341075333,39.0413,42.4112,0.6238111111111111,0.05587715195955418,41.00796666666667,1.0013222222222222,0.3775111111111111,3.3699000000000012,4.172304649733367,2.5146499168727336,64.73779456031919,10,89 & 9 points,1,Si,Si_1x
5,4,2024-07-19,2024-07-19_04,9,39.942588888888885,1.0012884917001241,38.6182,41.943,0.615588888888889,0.05509667513662791,40.55817777777778,1.0010555555555554,0.3854666666666666,3.324799999999996,4.161973588202841,2.5068192111569907,64.88516867317652,10,89 & 9 points,1,Si,Si_1x
5,5,2024-07-19,2024-07-19_05,9,40.14203333333333,1.0177432964652744,38.8162,42.1766,0.6148111111111111,0.055139310941569715,40.75684444444445,1.000988888888889,0.3861777777777778,3.3603999999999985,4.185637498847839,2.535355615930287,65.29165235935156,10,89 & 9 points,1,Si,Si_1x
