lot_number,wafer_number,date,experiment_key,n_points,si_etch_mean,si_etch_std,si_etch_min,si_etch_max,oxide_etch_mean,oxide_etch_std,stepheight_mean,preox_mean,postox_mean,si_etch_range,si_nu_pct,si_cv_pct,selectivity,si_etch_center,si_etch_edge,center_to_edge,n_interpolated,n_wafers_planned,measurements,cond_rep,cond_type,cond_label
4,3,2024-07-11,2024-07-11_03,89,44.324505951348314,3.668143649233856,40.6007,52.3633,0.7068376026067416,0.07161326972786987,44.62098988764045,1.0033215389325842,0.2964839363483146,11.762599999999999,13.268732214309308,8.275656029330822,62.70818896431694,42.24422,50.613986185499996,8.369766185499998,9,10,89 & 9 points,3,Si,Si_3x
4,4,2024-07-11,2024-07-11_04,89,43.998570636404494,3.6403860875063505,40.2776,51.9429,0.704332305977528,0.07209500422723976,44.297510112359554,1.0032717819101125,0.29893947593258424,11.665300000000002,13.256453370269389,8.273873525551052,62.46848293482691,41.95012,50.239942534,8.289822534000002,8,10,89 & 9 points,3,Si,Si_3x
4,5,2024-07-11,2024-07-11_05,89,43.92957708887641,3.58105345993556,40.2389,51.7485,0.7013869613932584,0.06964530083925356,44.23135617977528,1.0031660522022472,0.3017790908314607,11.509599999999999,13.100057822904004,8.151804996188623,62.632440445732314,41.91316,50.0544798745,8.141319874499999,10,10,89 & 9 points,3,Si,Si_3x
4,6,2024-07-11,2024-07-11_06,89,43.64391731,3.5909332851148625,39.9431,51.5914,0.6940051048876404,0.06985113650871094,43.952730337078656,1.0028181318764045,0.30881302698876406,11.648299999999999,13.34470038202902,8.227797838605296,62.88702633832349,41.64512,49.7831221975,8.1380021975,9,10,89 & 9 points,3,Si,Si_3x
4,7,2024-07-11,2024-07-11_07,89,43.214110956853936,3.544839253352606,39.5572,51.0043,0.6865208035955057,0.06837444218148397,43.530248314606744,1.0026581613033707,0.3161373576966292,11.447099999999999,13.244632073339508,8.202966981993136,62.946542523590374,41.272360000000006,49.266064037,7.993704036999993,10,10,89 & 9 points,3,Si,Si_3x
4,8,2024-07-11,2024-07-11_08,89,43.135930337078655,3.5405483509044084,39.4823,50.9625,0.6823962143258426,0.05702398864772311,43.455852808988766,1.002318686235955,0.31992247191011236,11.480199999999996,13.307004057046939,8.207886843374824,63.21244085401879,41.206939999999996,49.190870000000004,7.983930000000008,0,10,89 & 9 points,3,Si,Si_3x
4,9,2024-07-11,2024-07-11_09,89,42.94292808988764,3.535692373945909,39.3009,50.7659,0.6798821283483146,0.05797115427427949,43.26502696629213,1.001981004752809,0.32209887640449436,11.465000000000003,13.349113008784125,8.233468305992174,63.16231343543609,41.02358,48.99262,7.96904,0,10,89 & 9 points,3,Si,Si_3x
4,10,2024-07-11,2024-07-11_10,89,43.42402808988764,3.5187772857649904,39.775,51.2116,0.6849691163707865,0.05804773996163711,43.7405797752809,1.001520801764045,0.3165516853932584,11.436599999999999,13.168515799969388,8.103295434686826,63.39559996509596,41.54094,49.438415,7.897475,0,10,89 & 9 points,3,Si,Si_3x
5,1,2024-07-19,2024-07-19_01,89,44.31420112359551,3.7898979852093886,40.572,52.7809,0.6845211126067415,0.05886040471461799,44.63113146067416,1.0014514496853932,0.3169303370786517,12.2089,13.775380905489524,8.552332861962443,64.7375227841279,42.19782,50.862615,8.664794999999998,0,10,89 & 9 points,1,Si,Si_1x
5,2,2024-07-19,2024-07-19_02,89,43.71237640449438,3.6750832426571853,40.0443,51.7959,0.6790159967977528,0.05639475777024458,44.034883146067415,1.0015227383707865,0.3225067415730337,11.751600000000003,13.44195965377867,8.407420380556854,64.376062729954,41.66418,50.04059,8.37641,0,10,89 & 9 points,1,Si,Si_1x
5,3,2024-07-19,2024-07-19_03,89,43.85850112359551,3.59665582626589,40.1919,51.7073,0.6876664316516854,0.0570729546336776,44.17234382022472,1.001509128280899,0.3138426966292135,11.5154,13.127899614659665,8.200589929259847,63.778743740992404,41.88988,50.023880000000005,8.134000000000007,0,10,89 & 9 points,1,Si,Si_1x
5,4,2024-07-19,2024-07-19_04,89,43.35476853932584,3.5109266995920128,39.738,51.0861,0.6867590108202247,0.05714211546948716,43.669232584269665,1.001223055764045,0.31446404494382024,11.348100000000002,13.087487700120546,8.098132726524312,63.12952266552053,41.45686,49.357155,7.900295,0,10,89 & 9 points,1,Si,Si_1x
5,5,2024-07-19,2024-07-19_05,89,43.50141797752809,3.5255169966313815,39.8595,51.3457,0.6863818737752809,0.05746484730667453,43.8162191011236,1.0011829973707864,0.3148011235955056,11.486200000000004,13.202098384394654,8.1043725941361,63.37786535395937,41.60316,49.52066,7.917499999999997,0,10,89 & 9 points,1,Si,Si_1x
5,6,2024-07-19,2024-07-19_06,89,43.371765168539326,3.514368172720677,39.7342,51.1782,0.6859885106516854,0.05733806854594322,43.6870415730337,1.0012649151460673,0.31527640449438205,11.443999999999996,13.192914740188112,8.102894035011289,63.2252063920668,41.48968,49.369025,7.879345000000001,0,10,89 & 9 points,1,Si,Si_1x
5,7,2024-07-19,2024-07-19_07,89,43.267224363932584,3.499747225483388,39.6316,50.9781,0.6830332948089888,0.057076140201413134,43.58529438202247,1.0011033128988764,0.31807001808988766,11.346499999999999,13.112119123428684,8.088679773044943,63.34570319303735,41.35226,49.2397684195,7.887508419500001,1,10,89 & 9 points,1,Si,Si_1x
5,8,2024-07-19,2024-07-19_08,89,43.17212696629213,3.5171884290439914,39.5676,51.0264,0.6526723126966293,0.053663339834651914,43.5278584269663,1.0084037733707865,0.3557314606741573,11.458800000000004,13.27106261054359,8.146896333808469,66.14671118485013,41.3371,49.18588,7.848779999999998,0,10,89 & 9 points,1,Si,Si_1x
5,9,2024-07-19,2024-07-19_09,89,43.233769856629216,3.4869587445155985,39.6471,50.9989,0.6486990951573034,0.053078044758958325,43.59134831460674,1.0062775531460673,0.3575784579775281,11.351799999999997,13.128394814568061,8.06535899154519,66.64687862119715,41.442099999999996,49.186890862,7.744790862000002,1,10,89 & 9 points,1,Si,Si_1x
5,10,2024-07-19,2024-07-19_10,89,43.02462584269663,3.4908134401574133,39.4453,50.8589,0.6469587104606741,0.05421811589744497,43.38445730337079,1.0067901711348315,0.3598314606741573,11.413599999999995,13.264031675405537,8.1135242242902,66.50289291577892,41.2391,48.985769999999995,7.746669999999995,0,10,89 & 9 points,1,Si,Si_1x
6,1,2024-08-01,2024-08-01_01,89,43.75222247191011,3.6681675018372233,40.0937,51.9813,0.6493337256741573,0.05755652360763671,44.109641573033706,1.0067528267977528,0.35741910112359554,11.887599999999999,13.585138455117452,8.383956961711528,67.38017870007486,41.7329,50.06589,8.332990000000002,0,10,89 & 9 points,9,Si,Si_9x
6,2,2024-08-01,2024-08-01_02,89,44.195029213483146,3.7128038846305627,40.5022,52.2677,0.6518977663483146,0.05703998295130566,44.54920561797753,1.0060741708426966,0.35417640449438204,11.765499999999996,13.310886098939994,8.400953570357297,67.79441730725206,42.04954,50.59716,8.547620000000002,0,10,89 & 9 points,9,Si,Si_9x
6,3,2024-08-01,2024-08-01_03,89,44.066997752808994,3.6796436663257563,40.3885,52.1867,0.6475585641123596,0.05703630329456149,44.42434494382022,1.0049057551235956,0.35734719101123597,11.798200000000001,13.386661903065475,8.35011199756898,68.05098441283654,42.028800000000004,50.40319,8.374389999999998,0,10,89 & 9 points,9,Si,Si_9x
6,4,2024-08-01,2024-08-01_04,89,43.89461797752809,3.6601723774472275,40.222,51.9347,0.649333190730337,0.056189767224141214,44.25053258426966,1.00524779747191,0.35591460674157305,11.712699999999998,13.341840685339065,8.338544783146439,67.59952918494379,41.88268000000001,50.18391,8.30122999999999,0,10,89 & 9 points,9,Si,Si_9x
6,5,2024-08-01,2024-08-01_05,89,43.69129550561797,3.6235096083803935,40.0373,51.6084,0.6490255172808989,0.055440489478585195,44.04764606741573,1.0053760790786517,0.3563505617977528,11.571100000000001,13.241882468914374,8.293435949763655,67.31830158028801,41.71946,49.908915,8.189455000000002,0,10,89 & 9 points,9,Si,Si_9x
6,6,2024-08-01,2024-08-01_06,89,43.231184269662926,3.57928583223534,39.5939,51.0864,0.6492932253370786,0.05427711317374769,43.58581348314607,1.0039224388202248,0.3546292134831461,11.4925,13.291909756986177,8.27940731373179,66.58191181221642,41.30176,49.372335,8.070574999999998,0,10,89 & 9 points,9,Si,Si_9x
6,7,2024-08-01,2024-08-01_07,89,42.97732808988764,3.8669348914279533,28.653,50.9534,0.6838990728202247,0.05699069127534365,43.297388764044946,1.003959746977528,0.3200606741573033,22.300400000000003,25.94437694376722,8.997615866999011,62.84162356392756,41.20908,49.23289,8.023809999999997,0,10,89 & 9 points,9,Si,Si_9x
6,8,2024-08-01,2024-08-01_08,89,43.32931011235955,3.550864204670488,39.6672,51.2159,0.6852053733483147,0.0575843955662565,43.647895505617974,1.0037907666067414,0.31858539325842694,11.548699999999997,13.326660371527316,8.195062869596937,63.23550835660726,41.40334,49.398475000000005,7.995135000000005,0,10,89 & 9 points,9,Si,Si_9x
6,9,2024-08-01,2024-08-01_09,89,43.23398539325843,3.5302805626835823,39.4678,50.9339,0.6820952078539325,0.057404228024837065,43.55524831460674,1.003358129202247,0.32126292134831463,11.466100000000004,13.260517039666597,8.16552193967773,63.38409197930736,41.27038,49.262485,7.992104999999995,0,10,89 & 9 points,9,Si,Si_9x
6,10,2024-08-01,2024-08-01_10,89,43.2034202247191,3.5323907616507277,39.5395,51.0186,0.6829520741348314,0.05705679845319233,43.52359101123596,1.0031228606516853,0.32017078651685393,11.479100000000003,13.28494357656453,8.176183143087474,63.25981260024652,41.31292,49.2414,7.92848,0,10,89 & 9 points,9,Si,Si_9x
7,1,2024-08-05,2024-08-05_01,89,43.83111460674157,3.7184122433185767,40.0996,52.1228,0.6818525041235955,0.0561523821858084,44.152675280898876,1.003413178280899,0.3215606741573034,12.023199999999996,13.715371041637544,8.483499168754097,64.28239882037091,41.813159999999996,50.23291,8.41975,0,6,89 & 9 points,3,SiO2,SiO2_3x
7,2,2024-08-05,2024-08-05_02,89,44.11084831460674,3.716409880580997,40.3837,52.2922,0.6818559953483146,0.056401515057320814,44.43279438202247,1.003802062764045,0.32194606741573034,11.908500000000004,13.49838016610605,8.42516075427721,64.69232303526708,42.02532,50.501774999999995,8.476454999999994,0,6,89 & 9 points,3,SiO2,SiO2_3x
7,3,2024-08-05,2024-08-05_03,89,43.68900561797753,3.6333695601065665,40.0253,51.6961,0.6818448824269663,0.056911198942191425,44.01055280898876,1.0033920734382022,0.32154719101123597,11.6708,13.356678453672105,8.316439133170558,64.07469901727559,41.66356,49.927049999999994,8.263489999999997,0,6,89 & 9 points,3,SiO2,SiO2_3x
7,4,2024-08-05,2024-08-05_04,89,43.760993258426964,3.6074572366204105,40.0782,51.5847,0.6875776283932584,0.05697498127650423,44.07588314606742,1.0024675160337078,0.31488988764044945,11.506499999999996,13.146982213188469,8.243545148339908,63.64516739831734,41.770179999999996,49.94082,8.170640000000006,0,6,89 & 9 points,3,SiO2,SiO2_3x
