X,Y,r_mm,theta_deg,ring_id,ring_r,n,n_interp,mean,sd,slope,se,ci_lo,ci_hi,p,p_fdr,mean_no_interp,interp_shift
-38000,19000,42.485291572496,153.434948822922,4,42.49,88,0,40.802175000000005,0.35075649845283896,-0.10375118799503114,0.00653854499211524,-0.11677109445002531,-0.09073128154003696,5.527346256489472e-26,1.8219770993613444e-25,40.802175,-7.105427357601002e-15
-38000,-38000,53.74011537017761,-135.0,5,53.74,88,0,41.55959090909091,0.3453278171472953,-0.09971595664863821,0.006660108402066961,-0.11297792677801716,-0.08645398651925926,1.642423087293235e-24,2.811070284021114e-24,41.55959090909091,0.0
38000,-38000,53.74011537017761,-45.0,5,53.74,88,0,41.47226818181818,0.3223134743655247,-0.09350353480620312,0.006555174879489626,-0.10655655559752636,-0.08045051401487988,2.5795780852140614e-23,3.2771553278750866e-23,41.47226818181818,0.0
38000,38000,53.74011537017761,45.0,5,53.74,88,0,40.225564772727274,0.3410435264093057,-0.10239169654025805,0.006387162287832104,-0.11511016151996266,-0.08967323156055344,3.011579835073888e-26,1.1653504579198958e-25,40.225564772727274,0.0
-38000,38000,53.74011537017761,135.0,5,53.74,88,0,40.338527272727276,0.36867773259584896,-0.10960539391416382,0.006602920937791041,-0.12275348925394222,-0.09645729857438542,3.727616541355544e-27,1.951516895180255e-26,40.33852727272727,-7.105427357601002e-15
0,-57000,57.0,-90.0,6,57.0,88,1,41.944458352613644,0.33114179712181496,-0.0969057902618104,0.006563487401575807,-0.10997536339927451,-0.08383621712434629,3.660535797675255e-24,5.8176372498767445e-24,41.94156436781609,-0.002893984797552207
57000,0,57.0,0.0,6,57.0,88,0,40.755525,0.33011068267490484,-0.09779940808673637,0.006366004381392753,-0.11047574229224641,-0.08512307388122634,3.693906732955767e-25,8.657306974650813e-25,40.755525,0.0
0,57000,57.0,90.0,6,57.0,88,1,40.01339945056818,0.3621568283605523,-0.10926301004171705,0.006514019742424192,-0.12223408048546594,-0.09629193959796817,1.9830893976384585e-27,1.2606782599273058e-26,40.01095402298851,-0.0024454275796728098
-57000,0,57.0,180.0,6,57.0,88,0,40.89181477272727,0.3714562638940881,-0.10867396415176389,0.006737316596741649,-0.1220896754381488,-0.09525825286537898,2.0848953508879754e-26,8.808943278901677e-26,40.89181477272727,0.0
-57000,-19000,60.08327554319921,-161.565051177078,7,60.08,88,0,41.24242954545454,0.3721728501400929,-0.10851068778661144,0.006822482118824852,-0.12209598529318008,-0.09492539028004279,4.810791509426096e-26,1.6762150741451407e-25,41.24242954545454,0.0
-19000,-57000,60.08327554319921,-108.43494882292202,7,60.08,88,0,41.99662613636363,0.3340705292366285,-0.09689366402671254,0.0064871719206790555,-0.10981127362740481,-0.08397605442602027,1.885847432553633e-24,3.166800405608931e-24,41.99662613636364,7.105427357601002e-15
19000,-57000,60.08327554319921,-71.56505117707799,7,60.08,88,0,41.95354204545454,0.3218862520306557,-0.09360669445605789,0.006444750507661032,-0.10643983223161944,-0.08077355668049634,9.298839440949654e-24,1.3136455718166973e-23,41.95354204545455,7.105427357601002e-15
57000,-19000,60.08327554319921,-18.43494882292201,7,60.08,88,0,41.11559090909091,0.32889124626603927,-0.09719887453108852,0.006414804194024658,-0.10997238157799596,-0.08442536748418109,8.233690568792472e-25,1.526663459630271e-24,41.11559090909091,0.0
57000,19000,60.08327554319921,18.43494882292201,7,60.08,88,0,40.50479886363637,0.3388538512802085,-0.1018789995831931,0.006407438614643415,-0.11463783988778306,-0.08912015927860314,4.896808081772321e-26,1.6762150741451407e-25,40.50479886363637,0.0
19000,57000,60.08327554319921,71.56505117707799,7,60.08,88,0,40.01412954545454,0.3607432178599824,-0.10895361400586898,0.006523691734884735,-0.12194394384711708,-0.09596328416462087,2.5765251872184235e-27,1.433192135390248e-26,40.014129545454544,7.105427357601002e-15
-19000,57000,60.08327554319921,108.43494882292202,7,60.08,88,0,40.05809090909091,0.3780191729116652,-0.11369066277618987,0.006604214733981751,-0.12684133439331977,-0.10053999115905998,4.0679327214522215e-28,3.291327383720434e-27,40.05809090909091,0.0
-57000,19000,60.08327554319921,161.565051177078,7,60.08,88,0,40.65706363636364,0.38194182989181436,-0.11339843268031705,0.0067313379838084015,-0.1268022390274203,-0.09999462633321378,1.5243927367505254e-27,1.0436227197753598e-26,40.65706363636364,0.0
-57000,-38000,68.50547423381579,-146.30993247402023,8,68.51,88,0,42.02284090909091,0.3465021927370412,-0.09181976656943841,0.007239249384613928,-0.10623495372586356,-0.07740457941301326,1.5141567702507493e-20,1.6434140555160572e-20,42.02284090909091,0.0
-38000,-57000,68.50547423381579,-123.69006752597979,8,68.51,88,0,42.45178409090909,0.32973211031317223,-0.08636847019595015,0.007360476708378771,-0.1010250517936632,-0.0717118885982371,8.052847748186779e-19,8.532183923674088e-19,42.45178409090909,0.0
38000,-57000,68.50547423381579,-56.309932474020215,8,68.51,88,0,42.354405681818186,0.32981313112366967,-0.08540862025847581,0.007116099287270706,-0.09957858424227375,-0.07123865627467788,2.5955780473145476e-19,2.78321019531319e-19,42.35440568181818,-7.105427357601002e-15
57000,-38000,68.50547423381579,-33.690067525979785,8,68.51,88,0,41.889207954545455,0.3088021608306826,-0.07808409337227276,0.00696625123942909,-0.09195567177216572,-0.0642125149723798,7.564396087347605e-18,7.828270369464382e-18,41.889207954545455,0.0
57000,38000,68.50547423381579,33.690067525979785,8,68.51,88,0,40.57139431818182,0.36270483815703136,-0.10911649020428527,0.006618428092217014,-0.12229546423347436,-0.09593751617509617,5.622791113641809e-27,2.6338337321795845e-26,40.571394318181824,7.105427357601002e-15
38000,57000,68.50547423381579,56.309932474020215,8,68.51,88,0,40.301500000000004,0.3735985182967984,-0.11287047936643571,0.0066713152343835114,-0.12615476514992335,-0.09958619358294805,1.1742437859909404e-27,8.708974746099474e-27,40.301500000000004,0.0
-38000,57000,68.50547423381579,123.69006752597979,8,68.51,88,0,40.423418181818185,0.4053790153700645,-0.1215580908712299,0.006857988238148183,-0.13521409009396432,-0.10790209164849549,6.715385209479639e-29,8.538132623481255e-28,40.423418181818185,0.0
-57000,38000,68.50547423381579,146.30993247402023,8,68.51,88,0,40.74292272727273,0.4099492527403379,-0.12260459358069241,0.006885381698364685,-0.13631514015148782,-0.108894047009897,5.051443020956001e-29,8.538132623481255e-28,40.74292272727273,0.0
